Level,Outcome,Treatment,Model,β,SE,t,p,95% CI lower,95% CI upper,Cohen's d,Std. β,Partial η²,N
Macro,Depression prevalence,AdProxy,Pooled OLS,4.21354924403521e-05,2.3910605816080007e-05,1.7622093210208738,0.07803393783279472,-4.728433807698659e-06,8.899941868840286e-05,6.0020961475938604e-05,0.11839710055223765,0.0006347740796252814,4891
Macro,Depression prevalence,AdProxy,Entity FE,8.682703044093654e-05,1.2372166908514067e-05,7.017932354370793,2.25175507948492e-12,6.257802888953071e-05,0.00011107603199234237,0.00012368294630810424,0.2439764687293129,0.009973444200216858,4891
Macro,Depression prevalence,AdProxy,TWFE,9.950766884995012e-06,7.440128228860049e-06,1.3374456163801407,0.1810772228603138,-4.631616483930464e-06,2.453315025392049e-05,1.4174620047595682e-05,0.027960796924883076,0.00036574075558527217,4891
Macro,Depression prevalence,AdProxy,First Difference,-7.76618464124289e-05,1.4798738195155886e-05,-5.247869472942645,1.5386824796003483e-07,-0.00010666684029157173,-4.865685253328608e-05,-0.0005583326816606317,-0.1044368350498758,0.005797263727530078,4725
Macro,Depression prevalence,Internet %,Pooled OLS,0.0033190089122742345,0.0009996023972912932,3.3203290841118753,0.0008991139437673467,0.0013598242147234013,0.005278193609825068,0.00476807363419746,0.15333130331800934,0.00218740703351214,5031
Macro,Depression prevalence,Internet %,Entity FE,0.006155202221881761,0.00038327087909996113,16.05966578085996,4.891799599377576e-58,0.005404005102522831,0.00690639934124069,0.008842536492979178,0.2843575307606937,0.04878326380233798,5031
Macro,Depression prevalence,Internet %,TWFE,0.0004358516319426832,0.00044922363722749815,0.9702330772989957,0.3319303266440897,-0.0004446105180272998,0.001316313781912666,0.0006261425412274196,0.020135438182134983,0.00018714974159068565,5031
Macro,Depression prevalence,Internet %,First Difference,0.004100624104909448,0.0010054370815389291,4.078449243818423,4.533709728063343e-05,0.0021300036363720853,0.006071244573446811,0.029482971302172575,0.10917128986690364,0.0034137078824014425,4858
Macro,Suicide rate,AdProxy,Pooled OLS,-0.00010320329660431745,0.00017892299564694342,-0.5768028655632477,0.5640726335688884,-0.0004538859240783434,0.0002474793308697085,-1.4715663553008076e-05,-0.02761789887708582,0.00035456671729964476,940
Macro,Suicide rate,AdProxy,Entity FE,-0.0009747240614327288,0.00022543029592653403,-4.3238379181757525,1.5333797112612336e-05,-0.001416559322472942,-0.0005328888003925155,-0.0001389850113030745,-0.26084273901561894,0.01954182170801841,940
Macro,Suicide rate,AdProxy,TWFE,-0.0006709401714867447,0.00024873287166924014,-2.6974326593187374,0.00698764161055294,-0.0011584476417296785,-0.00018343270124381088,-9.566874462984385e-05,-0.17954811927897607,0.0076973728849647075,940
Macro,Suicide rate,AdProxy,First Difference,-0.0007545736500108606,0.000204086130059753,-3.6973294059225585,0.0002178795419853969,-0.001154575114672134,-0.0003545721853495874,-0.00040623176042552426,-0.20336680056940082,0.017692210653940967,761
Macro,Suicide rate,Internet %,Pooled OLS,-0.014521123093671357,0.011042405816549002,-1.3150325513221839,0.18849896283790313,-0.03616384079678301,0.0071215946094402936,-0.0020873675446913026,-0.06374813371555862,0.0017851329490032155,969
Macro,Suicide rate,Internet %,Entity FE,-0.03440903814531847,0.008497156503583368,-4.049476802128771,5.133226566767946e-05,-0.05106315886334216,-0.017754917427294774,-0.004946195208543166,-0.15105663319302778,0.016675097972455987,969
Macro,Suicide rate,Internet %,TWFE,-0.022903670672233215,0.016136120855103638,-1.4194037636368528,0.15578133580031414,-0.054529886398422,0.008722545053955574,-0.0032923334171276078,-0.10054775041656194,0.002079129480265474,969
Macro,Suicide rate,Internet %,First Difference,-0.025428630045717316,0.008664171931078067,-2.9349175256444013,0.0033363635380871076,-0.042410094986493174,-0.008447165104941454,-0.013844567956357115,-0.1533827600689009,0.010895005281240893,784
Macro,Depression DALYs,AdProxy,Pooled OLS,0.008577459823075144,0.004694109605682323,1.8272815386952064,0.06765744951883361,-0.0006228259435457247,0.017777745589696012,5.923057364474207e-05,0.1173984177082626,0.000682766133483643,4889
Macro,Depression DALYs,AdProxy,Entity FE,0.017599371577678,0.0024443474316485983,7.200028666059165,6.01999020544449e-13,0.012808538645943768,0.022390204509412235,0.00012153025439169172,0.24087998294329827,0.010496474568767606,4889
Macro,Depression DALYs,AdProxy,TWFE,0.0011433548042640784,0.0014648100988116156,0.780548144221336,0.43506830094846494,-0.001727620233597246,0.004014329842125403,7.895293284131523e-06,0.015648927266163563,0.00012465305093150932,4889
Macro,Depression DALYs,AdProxy,First Difference,-0.015665218068277777,0.0029807047137339585,-5.255541750277505,1.4758936578286429e-07,-0.021507291955745106,-0.009823144180810447,-0.0005597018032790404,-0.10527587402241045,0.005816577217438702,4723
Macro,Depression DALYs,Internet %,Pooled OLS,0.7205516849335696,0.20360240138270036,3.5390136856941474,0.00040162503045174753,0.3214983110576088,1.1196050588095303,0.005025169564579681,0.16185494534445477,0.002485277643673909,5029
Macro,Depression DALYs,Internet %,Entity FE,1.2636626805588425,0.07757695299104689,16.289150731463778,1.1785444231465385e-59,1.1116146466660337,1.4157107144516512,0.008812857391104307,0.2838520239037885,0.05013597207661239,5029
Macro,Depression DALYs,Internet %,TWFE,0.03305443599534106,0.09658278275977543,0.3422394245727562,0.7321707180646735,-0.15624433974047483,0.22235321173115694,0.0002305235685535157,0.007424899619672592,2.329920325182409e-05,5029
Macro,Depression DALYs,Internet %,First Difference,0.8368977822753445,0.20641803087995672,4.054383130716163,5.026677321993828e-05,0.4323258759909526,1.2414696885597363,0.02989844030878325,0.10906786730182684,0.003375060414373109,4856
Micro,PHQ-9 (NHANES),Exercise,OLS + covariates,-1.42,0.29,-4.97,7e-07,-1.98,-0.86,0.17,,0.006,5032
Micro,Cantril (ATUS),Exercise min,OLS + covariates,0.0016,0.00032,4.97,7e-07,0.0009,0.0022,0.17,,0.001,21736
Micro,Cantril (ATUS),Passive leisure min,OLS + covariates,-0.0009,0.0001,-9.33,1e-20,-0.001,-0.0007,-0.13,,0.004,21736
Micro,Cantril (ATUS),Exercise×Passive,OLS + interaction,-2.4e-07,4e-06,-0.06,0.95,-8e-06,8e-06,0.0,,0.0,21736
